id,title,difficulty,acceptance_rate,likes,related_topics,time_taken,difficulty_label,Cluster_label
355,Design Twitter,Medium,31.6,1270,"Hash Table,Heap,Design",30,2,4
356,Line Reflection,Medium,33.1,166,"Hash Table,Math",30,2,4
357,Count Numbers with Unique Digits,Medium,49.0,559,"Math,Dynamic Programming,Backtracking",30,2,3
358,Rearrange String k Distance Apart,Hard,35.7,577,"Hash Table,Heap,Greedy",50,1,11
359,Logger Rate Limiter,Easy,72.5,742,"Hash Table,Design",15,0,7
360,Sort Transformed Array,Medium,49.9,400,"Math,Two Pointers,Sort",30,2,3
361,Bomb Enemy,Medium,46.8,562,Dynamic Programming,30,2,3
362,Design Hit Counter,Medium,65.5,1045,Design,30,2,22
363,Max Sum of Rectangle No Larger Than K,Hard,38.5,1093,"Binary Search,Dynamic Programming,Queue",50,1,15
364,Nested List Weight Sum II,Medium,63.9,698,Depth-first Search,30,2,24
365,Water and Jug Problem,Medium,31.3,418,Math,30,2,4
366,Find Leaves of Binary Tree,Medium,72.1,1297,"Tree,Depth-first Search",30,2,22
367,Valid Perfect Square,Easy,42.2,1192,"Math,Binary Search",15,0,1
368,Largest Divisible Subset,Medium,38.4,1794,"Math,Dynamic Programming",30,2,2
369,Plus One Linked List,Medium,59.6,642,"Linked List,Recursion",30,2,24
370,Range Addition,Medium,63.7,660,Array,30,2,24
371,Sum of Two Integers,Medium,50.6,1627,Bit Manipulation,30,2,5
372,Super Pow,Medium,36.7,300,,30,2,4
373,Find K Pairs with Smallest Sums,Medium,37.9,1882,Heap,30,2,2
374,Guess Number Higher or Lower,Easy,45.1,580,Binary Search,15,0,14
375,Guess Number Higher or Lower II,Medium,42.4,1013,"Dynamic Programming,Minimax",30,2,5
376,Wiggle Subsequence,Medium,42.2,1695,"Dynamic Programming,Greedy",30,2,2
377,Combination Sum IV,Medium,46.2,1975,Dynamic Programming,30,2,2
378,Kth Smallest Element in a Sorted Matrix,Medium,56.4,3490,"Binary Search,Heap",30,2,23
379,Design Phone Directory,Medium,48.4,215,"Linked List,Design",30,2,3
380,Insert Delete GetRandom O(1),Medium,49.1,3479,"Array,Hash Table,Design",30,2,23
381,Insert Delete GetRandom O(1) - Duplicates allowed,Hard,35.0,1111,"Array,Hash Table,Design",50,1,15
382,Linked List Random Node,Medium,54.3,902,Reservoir Sampling,30,2,5
383,Ransom Note,Easy,53.5,852,String,15,0,21
384,Shuffle an Array,Medium,54.1,118,,30,2,24
385,Mini Parser,Medium,34.6,286,"String,Stack",30,2,4
386,Lexicographical Numbers,Medium,54.6,736,,30,2,5
387,First Unique Character in a String,Easy,53.9,2827,"Hash Table,String",15,0,16
388,Longest Absolute File Path,Medium,43.1,722,,30,2,3
389,Find the Difference,Easy,57.9,1234,"Hash Table,Bit Manipulation",15,0,21
390,Elimination Game,Medium,45.2,560,,30,2,3
391,Perfect Rectangle,Hard,31.3,461,Line Sweep,50,1,11
392,Is Subsequence,Easy,49.6,2373,"Binary Search,Dynamic Programming,Greedy",15,0,16
393,UTF-8 Validation,Medium,38.1,288,Bit Manipulation,30,2,4
394,Decode String,Medium,53.0,4841,"Stack,Depth-first Search",30,2,19
395,Longest Substring with At Least K Repeating Characters,Medium,43.6,2446,"Divide and Conquer,Recursion,Sliding Window",30,2,2
396,Rotate Function,Medium,36.7,507,Math,30,2,4
397,Integer Replacement,Medium,33.6,505,"Math,Bit Manipulation",30,2,4
398,Random Pick Index,Medium,58.3,639,Reservoir Sampling,30,2,24
399,Evaluate Division,Medium,54.6,3334,"Union Find,Graph",30,2,23
400,Nth Digit,Medium,32.4,464,Math,30,2,4
401,Binary Watch,Easy,48.5,730,"Backtracking,Bit Manipulation",15,0,14
402,Remove K Digits,Medium,28.7,3193,"Stack,Greedy",30,2,23
403,Frog Jump,Hard,41.7,1497,Dynamic Programming,50,1,15
404,Sum of Left Leaves,Easy,52.3,1782,Tree,15,0,21
405,Convert a Number to Hexadecimal,Easy,44.5,590,Bit Manipulation,15,0,14
406,Queue Reconstruction by Height,Medium,68.6,3972,Greedy,30,2,23
407,Trapping Rain Water II,Hard,44.5,1776,"Heap,Breadth-first Search",50,1,15
408,Valid Word Abbreviation,Easy,31.5,187,String,15,0,14
409,Longest Palindrome,Easy,52.3,1525,Hash Table,15,0,21
410,Split Array Largest Sum,Hard,46.6,2522,"Binary Search,Dynamic Programming",50,1,15
411,Minimum Unique Word Abbreviation,Hard,37.4,147,"Backtracking,Bit Manipulation",50,1,11
412,Fizz Buzz,Easy,63.6,1305,,15,0,21
413,Arithmetic Slices,Medium,60.0,1718,"Math,Dynamic Programming",30,2,13
414,Third Maximum Number,Easy,30.7,955,Array,15,0,1
415,Add Strings,Easy,48.5,1680,String,15,0,1
416,Partition Equal Subset Sum,Medium,45.0,4194,Dynamic Programming,30,2,19
417,Pacific Atlantic Water Flow,Medium,44.0,2098,"Depth-first Search,Breadth-first Search",30,2,2
418,Sentence Screen Fitting,Medium,33.5,562,Dynamic Programming,30,2,4
419,Battleships in a Board,Medium,71.2,936,,30,2,22
420,Strong Password Checker,Hard,13.9,317,,50,1,11
421,Maximum XOR of Two Numbers in an Array,Medium,54.4,2009,"Bit Manipulation,Trie",30,2,13
422,Valid Word Square,Easy,38.2,211,,15,0,14
423,Reconstruct Original Digits from English,Medium,50.9,336,Math,30,2,3
424,Longest Repeating Character Replacement,Medium,48.3,2272,"Two Pointers,Sliding Window",30,2,13
425,Word Squares,Hard,50.3,720,"Backtracking,Trie",50,1,9
426,Convert Binary Search Tree to Sorted Doubly Linked List,Medium,61.6,1302,"Linked List,Divide and Conquer,Tree",30,2,22
427,Construct Quad Tree,Medium,62.7,315,,30,2,24
428,Serialize and Deserialize N-ary Tree,Hard,61.8,597,Tree,50,1,6
429,N-ary Tree Level Order Traversal,Medium,66.9,906,"Tree,Breadth-first Search",30,2,22
430,Flatten a Multilevel Doubly Linked List,Medium,57.0,2179,"Linked List,Depth-first Search",30,2,13
431,Encode N-ary Tree to Binary Tree,Hard,74.9,290,Tree,50,1,6
432,All O`one Data Structure,Hard,33.2,767,Design,50,1,11
433,Minimum Genetic Mutation,Medium,43.6,534,,30,2,3
434,Number of Segments in a String,Easy,37.7,291,,15,0,14
435,Non-overlapping Intervals,Medium,43.8,1974,Greedy,30,2,2
436,Find Right Interval,Medium,48.6,710,,30,2,5
437,Path Sum III,Medium,48.3,4975,Tree,30,2,19
438,Find All Anagrams in a String,Medium,45.2,4064,Hash Table,30,2,23
439,Ternary Expression Parser,Medium,56.9,286,"Stack,Depth-first Search",30,2,24
440,K-th Smallest in Lexicographical Order,Hard,29.9,415,,50,1,11
441,Arranging Coins,Easy,42.6,913,"Math,Binary Search",15,0,1
442,Find All Duplicates in an Array,Medium,69.1,3452,Array,30,2,23
443,String Compression,Medium,44.1,1251,String,30,2,5
444,Sequence Reconstruction,Medium,23.7,362,"Graph,Topological Sort",30,2,4
445,Add Two Numbers II,Medium,56.5,2273,Linked List,30,2,13
446,Arithmetic Slices II - Subsequence,Hard,33.6,686,Dynamic Programming,50,1,11
447,Number of Boomerangs,Medium,52.5,463,"Hash Table,Math",30,2,3
448,Find All Numbers Disappeared in an Array,Easy,56.1,4041,Array,15,0,20
449,Serialize and Deserialize BST,Medium,54.3,1898,Tree,30,2,13
450,Delete Node in a BST,Medium,45.5,2814,Tree,30,2,23
451,Sort Characters By Frequency,Medium,64.6,2246,"Hash Table,Heap",30,2,13
452,Minimum Number of Arrows to Burst Balloons,Medium,49.8,1681,"Greedy,Sort",30,2,5
453,Minimum Moves to Equal Array Elements,Easy,50.9,788,Math,15,0,21
454,4Sum II,Medium,54.6,1879,"Hash Table,Binary Search",30,2,13
455,Assign Cookies,Easy,50.4,842,Greedy,15,0,21
456,132 Pattern,Medium,30.7,2232,Stack,30,2,2
457,Circular Array Loop,Medium,30.3,36,"Array,Two Pointers",30,2,4
458,Poor Pigs,Hard,54.6,548,,50,1,9
459,Repeated Substring Pattern,Easy,43.3,2344,String,15,0,16
460,LFU Cache,Hard,36.4,1935,Design,50,1,15
461,Hamming Distance,Easy,73.3,2160,Bit Manipulation,15,0,0
462,Minimum Moves to Equal Array Elements II,Medium,54.4,652,Math,30,2,24
463,Island Perimeter,Easy,66.8,2665,Hash Table,15,0,16
464,Can I Win,Medium,29.7,1285,"Dynamic Programming,Minimax",30,2,4
465,Optimal Account Balancing,Hard,48.4,759,,50,1,9
466,Count The Repetitions,Hard,28.6,218,Dynamic Programming,50,1,11
467,Unique Substrings in Wraparound String,Medium,36.1,774,Dynamic Programming,30,2,4
468,Validate IP Address,Medium,25.1,467,String,30,2,4
469,Convex Polygon,Medium,37.6,73,Math,30,2,4
470,Implement Rand10() Using Rand7(),Medium,46.1,690,"Random,Rejection Sampling",30,2,3
471,Encode String with Shortest Length,Hard,49.6,472,Dynamic Programming,50,1,9
472,Concatenated Words,Hard,43.7,1133,"Dynamic Programming,Depth-first Search,Trie",50,1,15
473,Matchsticks to Square,Medium,38.2,764,Depth-first Search,30,2,4
474,Ones and Zeroes,Medium,44.1,1798,Dynamic Programming,30,2,2
475,Heaters,Medium,33.7,890,Binary Search,30,2,4
476,Number Complement,Easy,65.2,1143,Bit Manipulation,15,0,21
477,Total Hamming Distance,Medium,50.7,1092,Bit Manipulation,30,2,5
478,Generate Random Point in a Circle,Medium,39.1,311,"Math,Random,Rejection Sampling",30,2,4
479,Largest Palindrome Product,Hard,29.7,100,,50,1,11
480,Sliding Window Median,Hard,38.9,1357,Sliding Window,50,1,15
481,Magical String,Medium,48.1,128,,30,2,3
482,License Key Formatting,Easy,43.1,578,,15,0,14
483,Smallest Good Base,Hard,36.3,193,"Math,Binary Search",50,1,11
484,Find Permutation,Medium,64.3,431,Greedy,30,2,24
485,Max Consecutive Ones,Easy,52.6,1182,Array,15,0,21
486,Predict the Winner,Medium,49.0,1874,"Dynamic Programming,Minimax",30,2,13
487,Max Consecutive Ones II,Medium,48.0,692,Two Pointers,30,2,3
488,Zuma Game,Hard,38.2,277,Depth-first Search,50,1,11
489,Robot Room Cleaner,Hard,72.9,1478,Depth-first Search,50,1,6
490,The Maze,Medium,52.9,983,"Depth-first Search,Breadth-first Search",30,2,5
491,Increasing Subsequences,Medium,47.7,959,Depth-first Search,30,2,5
492,Construct the Rectangle,Easy,50.6,265,,15,0,14
493,Reverse Pairs,Hard,27.1,1330,"Binary Search,Divide and Conquer,Sort,Binary Indexed Tree,Segment Tree",50,1,15
494,Target Sum,Medium,45.6,3937,"Dynamic Programming,Depth-first Search",30,2,23
495,Teemo Attacking,Medium,56.1,519,Array,30,2,24
496,Next Greater Element I,Easy,65.9,2367,Stack,15,0,16
497,Random Point in Non-overlapping Rectangles,Medium,39.1,329,"Binary Search,Random",30,2,4
498,Diagonal Traverse,Medium,50.5,1221,,30,2,5
499,The Maze III,Hard,42.6,241,"Depth-first Search,Breadth-first Search",50,1,9
500,Keyboard Row,Easy,65.9,645,Hash Table,15,0,17
501,Find Mode in Binary Search Tree,Easy,43.7,1303,Tree,15,0,1
502,IPO,Hard,41.8,502,"Heap,Greedy",50,1,9
503,Next Greater Element II,Medium,58.7,2347,Stack,30,2,13
504,Base 7,Easy,46.5,302,,15,0,14
505,The Maze II,Medium,48.7,722,"Depth-first Search,Breadth-first Search",30,2,5
506,Relative Ranks,Easy,51.5,18,,15,0,14
507,Perfect Number,Easy,36.3,373,Math,15,0,14
508,Most Frequent Subtree Sum,Medium,59.2,861,"Hash Table,Tree",30,2,5
509,Fibonacci Number,Easy,67.5,1182,Array,15,0,0
510,Inorder Successor in BST II,Medium,60.4,461,Tree,30,2,24
511,Game Play Analysis I,Easy,81.5,65,,15,0,12
512,Game Play Analysis II,Easy,56.1,96,,15,0,17
513,Find Bottom Left Tree Value,Medium,62.8,1300,"Tree,Depth-first Search,Breadth-first Search",30,2,22
514,Freedom Trail,Hard,45.0,522,"Divide and Conquer,Dynamic Programming,Depth-first Search",50,1,9
515,Find Largest Value in Each Tree Row,Medium,62.4,1280,"Tree,Depth-first Search,Breadth-first Search",30,2,22
516,Longest Palindromic Subsequence,Medium,55.8,3000,Dynamic Programming,30,2,23
517,Super Washing Machines,Hard,38.7,405,"Math,Dynamic Programming",50,1,11
518,Coin Change 2,Medium,52.1,2991,,30,2,23
519,Random Flip Matrix,Medium,37.8,220,Random,30,2,4
520,Detect Capital,Easy,54.1,801,String,15,0,21
521,Longest Uncommon Subsequence I,Easy,59.1,402,"String,Brainteaser",15,0,17
522,Longest Uncommon Subsequence II,Medium,34.3,216,String,30,2,4
523,Continuous Subarray Sum,Medium,24.8,49,"Math,Dynamic Programming",30,2,4
524,Longest Word in Dictionary through Deleting,Medium,50.1,984,"Two Pointers,Sort",30,2,5
525,Contiguous Array,Medium,43.6,2737,Hash Table,30,2,23
526,Beautiful Arrangement,Medium,62.0,1208,"Backtracking,Depth-first Search",30,2,22
527,Word Abbreviation,Hard,56.4,248,"String,Sort",50,1,6
528,Random Pick with Weight,Medium,44.7,1208,"Binary Search,Random",30,2,5
529,Minesweeper,Medium,61.5,858,"Depth-first Search,Breadth-first Search",30,2,22
530,Minimum Absolute Difference in BST,Easy,55.0,1203,Tree,15,0,21
531,Lonely Pixel I,Medium,59.7,226,"Array,Depth-first Search",30,2,24
532,K-diff Pairs in an Array,Medium,35.5,1099,"Array,Two Pointers",30,2,4
533,Lonely Pixel II,Medium,48.2,58,Array,30,2,3
534,Game Play Analysis III,Medium,79.9,139,,30,2,18
535,Encode and Decode TinyURL,Medium,82.3,894,"Hash Table,Math",30,2,22
536,Construct Binary Tree from String,Medium,52.1,590,"String,Tree",30,2,3
537,Complex Number Multiplication,Medium,68.4,293,"Math,String",30,2,24
538,Convert BST to Greater Tree,Medium,59.8,2571,"Tree,Depth-first Search,Binary Search Tree,Recursion",30,2,13
539,Minimum Time Difference,Medium,52.4,663,String,30,2,5
540,Single Element in a Sorted Array,Medium,57.9,2370,Binary Search,30,2,13
541,Reverse String II,Easy,49.5,583,String,15,0,14
542,01 Matrix,Medium,41.1,2224,"Depth-first Search,Breadth-first Search",30,2,2
543,Diameter of Binary Tree,Easy,49.5,4509,Tree,15,0,20
544,Output Contest Matches,Medium,75.9,307,"String,Recursion",30,2,18
545,Boundary of Binary Tree,Medium,40.3,735,Tree,30,2,4
546,Remove Boxes,Hard,44.1,847,"Dynamic Programming,Depth-first Search",50,1,9
547,Number of Provinces,Medium,60.7,2921,"Depth-first Search,Union Find",30,2,13
548,Split Array with Equal Sum,Medium,48.3,286,Array,30,2,3
549,Binary Tree Longest Consecutive Sequence II,Medium,47.2,680,Tree,30,2,3
550,Game Play Analysis IV,Medium,45.7,112,,30,2,3
551,Student Attendance Record I,Easy,46.1,18,String,15,0,14
552,Student Attendance Record II,Hard,37.7,719,Dynamic Programming,50,1,11
553,Optimal Division,Medium,57.5,197,"Math,String",30,2,24
554,Brick Wall,Medium,50.8,1148,Hash Table,30,2,5
555,Split Concatenated Strings,Medium,42.9,60,String,30,2,3
556,Next Greater Element III,Medium,33.5,1142,String,30,2,4
557,Reverse Words in a String III,Easy,72.4,1420,String,15,0,0
558,Logical OR of Two Binary Grids Represented as Quad-Trees,Medium,45.7,111,,30,2,3
559,Maximum Depth of N-ary Tree,Easy,69.6,1295,"Tree,Depth-first Search,Breadth-first Search",15,0,0
560,Subarray Sum Equals K,Medium,43.7,6966,"Array,Hash Table",30,2,8
561,Array Partition I,Easy,73.5,186,Array,15,0,7
562,Longest Line of Consecutive One in Matrix,Medium,46.2,460,Array,30,2,3
563,Binary Tree Tilt,Easy,53.2,860,"Tree,Depth-first Search,Recursion",15,0,21
564,Find the Closest Palindrome,Hard,20.3,352,String,50,1,11
565,Array Nesting,Medium,56.0,1024,Array,30,2,5
566,Reshape the Matrix,Easy,61.1,963,Array,15,0,21
567,Permutation in String,Medium,44.5,2325,"Two Pointers,Sliding Window",30,2,2
568,Maximum Vacation Days,Hard,41.7,365,Dynamic Programming,50,1,9
569,Median Employee Salary,Hard,62.3,131,,50,1,6
570,Managers with at Least 5 Direct Reports,Medium,66.8,145,,30,2,24
571,Find Median Given Frequency of Numbers,Hard,45.6,138,,50,1,9
572,Subtree of Another Tree,Easy,44.6,3297,Tree,15,0,16
573,Squirrel Simulation,Medium,54.2,273,Math,30,2,24
574,Winning Candidate,Medium,52.7,85,,30,2,3
575,Distribute Candies,Easy,64.4,727,Hash Table,15,0,17
576,Out of Boundary Paths,Medium,36.1,747,"Dynamic Programming,Depth-first Search",30,2,4
577,Employee Bonus,Easy,72.0,112,,15,0,7
578,Get Highest Answer Rate Question,Medium,42.0,50,,30,2,3
579,Find Cumulative Salary of an Employee,Hard,38.5,126,,50,1,11
580,Count Student Number in Departments,Medium,52.2,125,,30,2,3
581,Shortest Unsorted Continuous Subarray,Medium,32.9,3797,Array,30,2,23
582,Kill Process,Medium,63.9,655,"Tree,Queue",30,2,24
583,Delete Operation for Two Strings,Medium,50.4,1458,String,30,2,5
584,Find Customer Referee,Easy,74.2,105,,15,0,7
585,Investments in 2016,Medium,57.4,128,,30,2,24
586,Customer Placing the Largest Number of Orders,Easy,75.5,140,,15,0,7
587,Erect the Fence,Hard,36.6,284,Geometry,50,1,11
588,Design In-Memory File System,Hard,46.7,562,Design,50,1,9
589,N-ary Tree Preorder Traversal,Easy,73.5,894,,15,0,0
590,N-ary Tree Postorder Traversal,Easy,73.6,961,Tree,15,0,0
591,Tag Validator,Hard,34.8,102,"String,Stack",50,1,11
592,Fraction Addition and Subtraction,Medium,50.3,227,Math,30,2,3
593,Valid Square,Medium,43.3,449,Math,30,2,3
594,Longest Harmonious Subsequence,Easy,51.3,1155,Hash Table,15,0,21
595,Big Countries,Easy,78.7,577,,15,0,7
596,Classes More Than 5 Students,Easy,38.9,285,,15,0,14
597,Friend Requests I: Overall Acceptance Rate,Easy,41.9,184,,15,0,14
598,Range Addition II,Easy,50.2,361,Math,15,0,14
599,Minimum Index Sum of Two Lists,Easy,51.9,775,Hash Table,15,0,21
600,Non-negative Integers without Consecutive Ones,Hard,34.3,528,Dynamic Programming,50,1,11
601,Human Traffic of Stadium,Hard,45.7,231,,50,1,9
602,Friend Requests II: Who Has the Most Friends,Medium,57.9,188,,30,2,24
603,Consecutive Available Seats,Easy,66.3,309,,15,0,17
604,Design Compressed String Iterator,Easy,38.3,292,Design,15,0,14
605,Can Place Flowers,Easy,31.7,1369,"Array,Greedy",15,0,1
606,Construct String from Binary Tree,Easy,55.8,942,"String,Tree",15,0,21
607,Sales Person,Easy,65.4,166,,15,0,17
608,Tree Node,Medium,69.9,232,,30,2,18
609,Find Duplicate File in System,Medium,61.2,549,"Hash Table,String",30,2,24
610,Triangle Judgement,Easy,68.9,145,,15,0,7
611,Valid Triangle Number,Medium,49.5,1357,Array,30,2,5
612,Shortest Distance in a Plane,Medium,61.7,126,,30,2,24
613,Shortest Distance in a Line,Easy,79.9,196,,15,0,12
614,Second Degree Follower,Medium,32.8,87,,30,2,4
615,Average Salary: Departments VS Company,Hard,53.1,119,,50,1,9
616,Add Bold Tag in String,Medium,44.9,642,String,30,2,3
617,Merge Two Binary Trees,Easy,75.5,4157,Tree,15,0,20
618,Students Report By Geography,Hard,60.6,84,,50,1,6
619,Biggest Single Number,Easy,45.2,88,,15,0,14
620,Not Boring Movies,Easy,70.2,347,,15,0,7
621,Task Scheduler,Medium,52.2,4588,"Array,Greedy,Queue",30,2,19
622,Design Circular Queue,Medium,47.7,1019,"Design,Queue",30,2,5
623,Add One Row to Tree,Medium,53.0,898,Tree,30,2,5
624,Maximum Distance in Arrays,Medium,39.6,491,"Array,Hash Table",30,2,4
625,Minimum Factorization,Medium,33.0,103,"Math,Recursion",30,2,4
626,Exchange Seats,Medium,66.2,439,,30,2,24
627,Swap Salary,Easy,78.0,598,,15,0,7
628,Maximum Product of Three Numbers,Easy,46.8,1566,"Array,Math",15,0,1
629,K Inverse Pairs Array,Hard,31.7,393,Dynamic Programming,50,1,11
630,Course Schedule III,Hard,33.8,1015,Greedy,50,1,11
631,Design Excel Sum Formula,Hard,32.2,99,Design,50,1,11
632,Smallest Range Covering Elements from K Lists,Hard,54.5,1384,"Hash Table,Two Pointers,String",50,1,15
633,Sum of Square Numbers,Medium,32.6,676,Math,30,2,4
634,Find the Derangement of An Array,Medium,40.6,143,Math,30,2,3
635,Design Log Storage System,Medium,60.1,320,"String,Design",30,2,24
636,Exclusive Time of Functions,Medium,55.0,1025,Stack,30,2,5
637,Average of Levels in Binary Tree,Easy,66.1,1955,Tree,15,0,0
638,Shopping Offers,Medium,53.1,719,"Dynamic Programming,Depth-first Search",30,2,5
639,Decode Ways II,Hard,27.7,583,Dynamic Programming,50,1,11
640,Solve the Equation,Medium,42.8,289,Math,30,2,3
641,Design Circular Deque,Medium,56.5,396,"Design,Queue",30,2,24
642,Design Search Autocomplete System,Hard,46.5,1268,"Design,Trie",50,1,15
643,Maximum Average Subarray I,Easy,42.0,953,Array,15,0,1
644,Maximum Average Subarray II,Hard,34.2,480,"Array,Binary Search",50,1,11
645,Set Mismatch,Easy,41.1,1132,"Hash Table,Math",15,0,1
646,Maximum Length of Pair Chain,Medium,53.1,1313,Dynamic Programming,30,2,5
647,Palindromic Substrings,Medium,62.7,4101,"String,Dynamic Programming",30,2,23
648,Replace Words,Medium,59.0,965,"Hash Table,Trie",30,2,5
649,Dota2 Senate,Medium,39.4,325,Greedy,30,2,4
650,2 Keys Keyboard,Medium,50.3,1723,Dynamic Programming,30,2,13
651,4 Keys Keyboard,Medium,53.2,431,"Math,Dynamic Programming,Greedy",30,2,3
652,Find Duplicate Subtrees,Medium,52.9,1903,Tree,30,2,13
653,Two Sum IV - Input is a BST,Easy,56.4,1986,Tree,15,0,16
654,Maximum Binary Tree,Medium,81.3,2426,Tree,30,2,13
655,Print Binary Tree,Medium,56.3,421,Tree,30,2,24
656,Coin Path,Hard,29.7,184,Dynamic Programming,50,1,11
657,Robot Return to Origin,Easy,74.0,1264,String,15,0,0
658,Find K Closest Elements,Medium,42.2,2007,Binary Search,30,2,2
659,Split Array into Consecutive Subsequences,Medium,44.5,1557,"Heap,Greedy",30,2,5
660,Remove 9,Hard,54.3,114,Math,50,1,6
661,Image Smoother,Easy,52.4,293,Array,15,0,17
662,Maximum Width of Binary Tree,Medium,39.7,2134,Tree,30,2,2
663,Equal Tree Partition,Medium,39.8,326,Tree,30,2,4
664,Strange Printer,Hard,41.6,561,"Dynamic Programming,Depth-first Search",50,1,9
665,Non-decreasing Array,Medium,19.9,2572,Array,30,2,2
666,Path Sum IV,Medium,56.7,219,Tree,30,2,24
667,Beautiful Arrangement II,Medium,55.3,392,Array,30,2,24
668,Kth Smallest Number in Multiplication Table,Hard,47.9,695,Binary Search,50,1,9
669,Trim a Binary Search Tree,Medium,64.3,2748,"Tree,Recursion",30,2,13
670,Maximum Swap,Medium,45.3,1449,"Array,Math",30,2,5
671,Second Minimum Node In a Binary Tree,Easy,42.8,804,Tree,15,0,1
672,Bulb Switcher II,Medium,51.2,166,Math,30,2,3
673,Number of Longest Increasing Subsequence,Medium,38.6,2191,Dynamic Programming,30,2,2
674,Longest Continuous Increasing Subsequence,Easy,46.0,1128,Array,15,0,1
675,Cut Off Trees for Golf Event,Hard,35.4,664,Breadth-first Search,50,1,11
676,Implement Magic Dictionary,Medium,55.4,717,"Hash Table,Trie",30,2,5
677,Map Sum Pairs,Medium,54.1,643,Trie,30,2,24
678,Valid Parenthesis String,Medium,31.7,2319,String,30,2,2
679,24 Game,Hard,47.3,902,Depth-first Search,50,1,9
680,Valid Palindrome II,Easy,37.1,2474,String,15,0,16
681,Next Closest Time,Medium,46.0,559,String,30,2,3
682,Baseball Game,Easy,67.4,705,Stack,15,0,7
683,K Empty Slots,Hard,36.1,651,Ordered Map,50,1,11
684,Redundant Connection,Medium,59.2,1994,"Tree,Union Find,Graph",30,2,13
685,Redundant Connection II,Hard,33.2,1061,"Tree,Depth-first Search,Union Find,Graph",50,1,11
686,Repeated String Match,Medium,32.9,1007,String,30,2,4
687,Longest Univalue Path,Medium,37.5,2239,"Tree,Recursion",30,2,2
688,Knight Probability in Chessboard,Medium,50.3,1240,Dynamic Programming,30,2,5
689,Maximum Sum of 3 Non-Overlapping Subarrays,Hard,47.3,1214,"Array,Dynamic Programming",50,1,15
690,Employee Importance,Easy,59.0,961,"Hash Table,Depth-first Search,Breadth-first Search",15,0,21
691,Stickers to Spell Word,Hard,45.1,499,"Dynamic Programming,Backtracking",50,1,9
692,Top K Frequent Words,Medium,53.3,2884,"Hash Table,Heap,Trie",30,2,23
693,Binary Number with Alternating Bits,Easy,60.0,606,Bit Manipulation,15,0,17
694,Number of Distinct Islands,Medium,58.1,1277,"Hash Table,Depth-first Search,Breadth-first Search",30,2,5
695,Max Area of Island,Medium,65.1,2935,"Array,Depth-first Search",30,2,13
696,Count Binary Substrings,Easy,58.3,1315,String,15,0,21
697,Degree of an Array,Easy,54.5,1269,Array,15,0,21
698,Partition to K Equal Sum Subsets,Medium,45.8,2784,"Dynamic Programming,Recursion",30,2,23
699,Falling Squares,Hard,43.2,330,"Segment Tree,Ordered Map",50,1,9
700,Search in a Binary Search Tree,Easy,73.4,1360,Tree,15,0,0
701,Insert into a Binary Search Tree,Medium,75.4,1487,Tree,30,2,22
702,Search in a Sorted Array of Unknown Size,Medium,69.0,490,Binary Search,30,2,24
703,Kth Largest Element in a Stream,Easy,50.9,1178,"Heap,Design",15,0,21
704,Binary Search,Easy,54.3,1269,Binary Search,15,0,21
705,Design HashSet,Easy,64.5,699,"Hash Table,Design",15,0,17
706,Design HashMap,Easy,64.1,1520,"Hash Table,Design",15,0,0
707,Design Linked List,Medium,26.0,821,"Linked List,Design",30,2,4
708,Insert into a Sorted Circular Linked List,Medium,32.7,513,Linked List,30,2,4
709,To Lower Case,Easy,80.2,661,String,15,0,7
710,Random Pick with Blacklist,Hard,33.1,420,"Hash Table,Binary Search,Sort,Random",50,1,11
711,Number of Distinct Islands II,Hard,49.6,177,"Hash Table,Depth-first Search",50,1,9
712,Minimum ASCII Delete Sum for Two Strings,Medium,59.6,1287,Dynamic Programming,30,2,5
713,Subarray Product Less Than K,Medium,40.6,2251,"Array,Two Pointers",30,2,2
714,Best Time to Buy and Sell Stock with Transaction Fee,Medium,58.0,2465,"Array,Dynamic Programming,Greedy",30,2,13
715,Range Module,Hard,40.7,627,"Segment Tree,Ordered Map",50,1,9
716,Max Stack,Easy,43.1,942,Design,15,0,1
717,1-bit and 2-bit Characters,Easy,46.9,554,Array,15,0,14
718,Maximum Length of Repeated Subarray,Medium,50.5,1939,"Array,Hash Table,Binary Search,Dynamic Programming",30,2,13
719,Find K-th Smallest Pair Distance,Hard,32.6,1304,"Array,Binary Search,Heap",50,1,15
720,Longest Word in Dictionary,Easy,49.4,862,"Hash Table,Trie",15,0,21
721,Accounts Merge,Medium,52.2,2301,"Depth-first Search,Union Find",30,2,13
722,Remove Comments,Medium,36.4,456,String,30,2,4
723,Candy Crush,Medium,73.1,562,"Array,Two Pointers",30,2,18
724,Find Pivot Index,Easy,46.0,1672,Array,15,0,1
725,Split Linked List in Parts,Medium,53.1,931,Linked List,30,2,5
726,Number of Atoms,Hard,51.0,622,"Hash Table,Stack,Recursion",50,1,9
727,Minimum Window Subsequence,Hard,42.4,915,"Dynamic Programming,Sliding Window",50,1,9
728,Self Dividing Numbers,Easy,75.6,841,Math,15,0,0
729,My Calendar I,Medium,53.6,1037,Array,30,2,5
730,Count Different Palindromic Subsequences,Hard,43.4,762,"String,Dynamic Programming",50,1,9
731,My Calendar II,Medium,50.9,791,Ordered Map,30,2,5
732,My Calendar III,Hard,62.2,461,"Segment Tree,Ordered Map",50,1,6
733,Flood Fill,Easy,56.0,1849,Depth-first Search,15,0,21
